name,status,database_name,schema_name,owner,compute_pool,dns_name,current_instances,target_instances,min_ready_instances,min_instances,max_instances,auto_resume,external_access_integrations,created_on,updated_on,resumed_on,suspended_on,auto_suspend_secs,comment,owner_role_type,query_warehouse,is_job,is_async_job,spec_digest,is_upgrading,managing_object_domain,managing_object_name
SPCS_CAP_RAY_WORKER_2A41EC8E_0_0,FAILED,TABPFN_DB,TABPFN_SCHEMA,ACCOUNTADMIN,AUTOGLUON_CPU_POOL,spcs-cap-ray-worker-2a41ec8e-0-0.l3i3.svc.spcs.internal,0,1,1,1,1,true,,2026-05-30 22:58:17.843 -0700,2026-05-30 23:06:08.200 -0700,,,0,,ROLE,,true,true,2d2ba7a7f5b82f111730ab0a9940c0b202e024dac71f14d273e0f2daa900c191,false,,
SPCS_CAP_RAY_WORKER_2A41EC8E_0_1,PENDING,TABPFN_DB,TABPFN_SCHEMA,ACCOUNTADMIN,AUTOGLUON_CPU_POOL,spcs-cap-ray-worker-2a41ec8e-0-1.l3i3.svc.spcs.internal,0,1,1,1,1,true,,2026-05-30 22:58:20.486 -0700,2026-05-30 22:58:21.900 -0700,,,0,,ROLE,,true,true,2d2ba7a7f5b82f111730ab0a9940c0b202e024dac71f14d273e0f2daa900c191,false,,
SPCS_CAP_RAY_WORKER_2A41EC8E_0_2,PENDING,TABPFN_DB,TABPFN_SCHEMA,ACCOUNTADMIN,AUTOGLUON_CPU_POOL,spcs-cap-ray-worker-2a41ec8e-0-2.l3i3.svc.spcs.internal,0,1,1,1,1,true,,2026-05-30 22:58:23.114 -0700,2026-05-30 22:58:24.508 -0700,,,0,,ROLE,,true,true,2d2ba7a7f5b82f111730ab0a9940c0b202e024dac71f14d273e0f2daa900c191,false,,
SPCS_CAP_RAY_WORKER_2A41EC8E_0_3,FAILED,TABPFN_DB,TABPFN_SCHEMA,ACCOUNTADMIN,AUTOGLUON_CPU_POOL,spcs-cap-ray-worker-2a41ec8e-0-3.l3i3.svc.spcs.internal,0,1,1,1,1,true,,2026-05-30 22:58:25.667 -0700,2026-05-30 23:06:07.702 -0700,,,0,,ROLE,,true,true,2d2ba7a7f5b82f111730ab0a9940c0b202e024dac71f14d273e0f2daa900c191,false,,
SPCS_CAP_RAY_WORKER_2A41EC8E_0_4,PENDING,TABPFN_DB,TABPFN_SCHEMA,ACCOUNTADMIN,AUTOGLUON_CPU_POOL,spcs-cap-ray-worker-2a41ec8e-0-4.l3i3.svc.spcs.internal,0,1,1,1,1,true,,2026-05-30 22:58:28.242 -0700,2026-05-30 22:58:29.464 -0700,,,0,,ROLE,,true,true,2d2ba7a7f5b82f111730ab0a9940c0b202e024dac71f14d273e0f2daa900c191,false,,
SPCS_CAP_RAY_WORKER_2A41EC8E_0_5,PENDING,TABPFN_DB,TABPFN_SCHEMA,ACCOUNTADMIN,AUTOGLUON_CPU_POOL,spcs-cap-ray-worker-2a41ec8e-0-5.l3i3.svc.spcs.internal,0,1,1,1,1,true,,2026-05-30 22:58:30.671 -0700,2026-05-30 22:58:31.924 -0700,,,0,,ROLE,,true,true,2d2ba7a7f5b82f111730ab0a9940c0b202e024dac71f14d273e0f2daa900c191,false,,
SPCS_CAP_RAY_WORKER_2A41EC8E_1_0,PENDING,TABPFN_DB,TABPFN_SCHEMA,ACCOUNTADMIN,AUTOGLUON_CPU_POOL,spcs-cap-ray-worker-2a41ec8e-1-0.l3i3.svc.spcs.internal,0,1,1,1,1,true,,2026-05-30 22:58:34.586 -0700,2026-05-30 22:58:35.831 -0700,,,0,,ROLE,,true,true,fc560a4be3cbc867022f652d019b7920462ff8198bc8028dafef86d99f8b3c62,false,,
SPCS_CAP_RAY_WORKER_2A41EC8E_1_1,PENDING,TABPFN_DB,TABPFN_SCHEMA,ACCOUNTADMIN,AUTOGLUON_CPU_POOL,spcs-cap-ray-worker-2a41ec8e-1-1.l3i3.svc.spcs.internal,0,1,1,1,1,true,,2026-05-30 22:58:37.023 -0700,2026-05-30 22:58:38.254 -0700,,,0,,ROLE,,true,true,fc560a4be3cbc867022f652d019b7920462ff8198bc8028dafef86d99f8b3c62,false,,
SPCS_CAP_RAY_WORKER_2A41EC8E_1_2,PENDING,TABPFN_DB,TABPFN_SCHEMA,ACCOUNTADMIN,AUTOGLUON_CPU_POOL,spcs-cap-ray-worker-2a41ec8e-1-2.l3i3.svc.spcs.internal,0,1,1,1,1,true,,2026-05-30 22:58:39.570 -0700,2026-05-30 22:58:40.802 -0700,,,0,,ROLE,,true,true,fc560a4be3cbc867022f652d019b7920462ff8198bc8028dafef86d99f8b3c62,false,,
SPCS_CAP_RAY_WORKER_2A41EC8E_1_3,PENDING,TABPFN_DB,TABPFN_SCHEMA,ACCOUNTADMIN,AUTOGLUON_CPU_POOL,spcs-cap-ray-worker-2a41ec8e-1-3.l3i3.svc.spcs.internal,0,1,1,1,1,true,,2026-05-30 22:58:42.013 -0700,2026-05-30 22:58:43.715 -0700,,,0,,ROLE,,true,true,fc560a4be3cbc867022f652d019b7920462ff8198bc8028dafef86d99f8b3c62,false,,
