SERVICE_NAME,DATABASE_NAME,SCHEMA_NAME,STATUS,TARGET_INSTANCES,CURRENT_INSTANCES,CREATED_ON,UPDATED_ON
RAY_CAPACITY_PROBE_5F2824AD_HPM8YPAAPDPC,TABPFN_DB,TABPFN_SCHEMA,DONE,8,0,2026-05-23 12:56:26.667 -0700,2026-05-23 13:09:42.649 -0700
RAY_CAPACITY_PROBE_1FE491B7_R42BWOZGQZJG,TABPFN_DB,TABPFN_SCHEMA,RUNNING,8,8,2026-05-23 12:56:22.109 -0700,2026-05-23 12:56:24.378 -0700
RAY_CAPACITY_PROBE_0A21F50A_1X1EHOYJ7YBVD,TABPFN_DB,TABPFN_SCHEMA,FAILED,8,0,2026-05-23 12:56:17.777 -0700,2026-05-23 13:22:06.879 -0700
RAY_CAPACITY_PROBE_821455A7_IPZJ6R1PVTAT,TABPFN_DB,TABPFN_SCHEMA,FAILED,8,0,2026-05-23 12:56:12.415 -0700,2026-05-23 13:21:36.859 -0700
RAY_CAPACITY_PROBE_2922A95D_1D3XPKAP3VNXO,TABPFN_DB,TABPFN_SCHEMA,FAILED,4,0,2026-05-23 12:55:12.115 -0700,2026-05-23 13:08:04.554 -0700
RAY_CAPACITY_PROBE_1D4CE395_TYS4J38CUZZG,TABPFN_DB,TABPFN_SCHEMA,FAILED,4,0,2026-05-23 12:55:06.830 -0700,2026-05-23 13:08:00.348 -0700
RAY_CAPACITY_PROBE_54512A9A_OACVRQW5FWZ5,TABPFN_DB,TABPFN_SCHEMA,FAILED,4,0,2026-05-23 12:55:01.053 -0700,2026-05-23 13:07:53.425 -0700
RAY_CAPACITY_PROBE_3C7293DB_IBWE8KGH4GLR,TABPFN_DB,TABPFN_SCHEMA,DONE,1,0,2026-05-23 12:54:56.682 -0700,2026-05-23 13:13:15.716 -0700
RAY_CAPACITY_PROBE_C239571B_7666J721MT6K,TABPFN_DB,TABPFN_SCHEMA,FAILED,4,0,2026-05-23 12:54:51.697 -0700,2026-05-23 13:08:16.868 -0700
RAY_CAPACITY_PROBE_3319502C_12GVWCBHXVSST,TABPFN_DB,TABPFN_SCHEMA,DONE,1,0,2026-05-23 12:54:46.339 -0700,2026-05-23 13:07:12.152 -0700
