SERVICE_NAME,DATABASE_NAME,SCHEMA_NAME,STATUS,TARGET_INSTANCES,CURRENT_INSTANCES,CREATED_ON,UPDATED_ON
SPCS_CAP_RAY_WORKER_9969BF7E_5_4,TABPFN_DB,TABPFN_SCHEMA,PENDING,1,0,2026-05-31 10:26:07.113 -0700,2026-05-31 10:26:08.279 -0700
SPCS_CAP_RAY_WORKER_9969BF7E_5_3,TABPFN_DB,TABPFN_SCHEMA,PENDING,1,0,2026-05-31 10:26:00.644 -0700,2026-05-31 10:26:01.882 -0700
SPCS_CAP_RAY_WORKER_9969BF7E_5_2,TABPFN_DB,TABPFN_SCHEMA,PENDING,1,0,2026-05-31 10:25:54.279 -0700,2026-05-31 10:25:55.425 -0700
SPCS_CAP_RAY_WORKER_9969BF7E_5_1,TABPFN_DB,TABPFN_SCHEMA,PENDING,1,0,2026-05-31 10:25:47.955 -0700,2026-05-31 10:25:49.079 -0700
SPCS_CAP_RAY_WORKER_9969BF7E_5_0,TABPFN_DB,TABPFN_SCHEMA,PENDING,1,0,2026-05-31 10:25:41.683 -0700,2026-05-31 10:25:42.780 -0700
SPCS_CAP_RAY_COORD_9969BF7E_5,TABPFN_DB,TABPFN_SCHEMA,RUNNING,1,1,2026-05-31 10:25:40.093 -0700,2026-05-31 10:25:41.466 -0700
SPCS_CAP_RAY_WORKER_9969BF7E_4_4,TABPFN_DB,TABPFN_SCHEMA,PENDING,1,0,2026-05-31 10:25:33.607 -0700,2026-05-31 10:25:34.786 -0700
SPCS_CAP_RAY_WORKER_9969BF7E_4_3,TABPFN_DB,TABPFN_SCHEMA,PENDING,1,0,2026-05-31 10:25:27.238 -0700,2026-05-31 10:25:28.372 -0700
SPCS_CAP_RAY_WORKER_9969BF7E_4_2,TABPFN_DB,TABPFN_SCHEMA,PENDING,1,0,2026-05-31 10:25:20.813 -0700,2026-05-31 10:25:22.008 -0700
SPCS_CAP_RAY_WORKER_9969BF7E_4_1,TABPFN_DB,TABPFN_SCHEMA,PENDING,1,0,2026-05-31 10:25:14.375 -0700,2026-05-31 10:25:15.599 -0700
SPCS_CAP_RAY_WORKER_9969BF7E_4_0,TABPFN_DB,TABPFN_SCHEMA,PENDING,1,0,2026-05-31 10:25:07.629 -0700,2026-05-31 10:25:09.160 -0700
SPCS_CAP_RAY_COORD_9969BF7E_4,TABPFN_DB,TABPFN_SCHEMA,RUNNING,1,1,2026-05-31 10:25:06.116 -0700,2026-05-31 10:25:07.388 -0700
SPCS_CAP_RAY_WORKER_9969BF7E_3_4,TABPFN_DB,TABPFN_SCHEMA,PENDING,1,0,2026-05-31 10:24:59.728 -0700,2026-05-31 10:25:00.926 -0700
SPCS_CAP_RAY_WORKER_9969BF7E_3_3,TABPFN_DB,TABPFN_SCHEMA,PENDING,1,0,2026-05-31 10:24:53.505 -0700,2026-05-31 10:24:54.547 -0700
SPCS_CAP_RAY_WORKER_9969BF7E_3_2,TABPFN_DB,TABPFN_SCHEMA,RUNNING,1,1,2026-05-31 10:24:47.116 -0700,2026-05-31 10:24:48.307 -0700
SPCS_CAP_RAY_WORKER_9969BF7E_3_1,TABPFN_DB,TABPFN_SCHEMA,RUNNING,1,1,2026-05-31 10:24:40.728 -0700,2026-05-31 10:24:41.905 -0700
SPCS_CAP_RAY_WORKER_9969BF7E_3_0,TABPFN_DB,TABPFN_SCHEMA,RUNNING,1,1,2026-05-31 10:24:34.435 -0700,2026-05-31 10:24:35.586 -0700
SPCS_CAP_RAY_COORD_9969BF7E_3,TABPFN_DB,TABPFN_SCHEMA,FAILED,1,0,2026-05-31 10:24:32.970 -0700,2026-05-31 10:39:48.278 -0700
