suite_family,condition_name,condition_value,prior_regime,method,mean_rank_mse_betaX,median_rank_mse_betaX,win_rate_mse,top3_rate_mse,valid_count
ood_primary,noise_features,0,E,AutoGluon,5.0,5.0,0.0,0.0,6
ood_primary,n_train,138,E,AutoGluon,5.0,5.0,0.0,0.0,1
ood_primary,n_train,146,E,AutoGluon,6.0,6.0,0.0,0.0,1
ood_primary,n_train,156,E,AutoGluon,4.0,4.0,0.0,0.0,1
ood_primary,n_train,162,E,AutoGluon,5.0,5.0,0.0,0.0,1
ood_primary,n_train,166,E,AutoGluon,5.0,5.0,0.0,0.0,2
ood_primary,noise_features,0,E,CatBoost,5.4,5.0,0.0,0.0,150
ood_primary,noise_features,0,F,CatBoost,5.753333333333333,6.0,0.0,0.04666666666666667,150
ood_primary,noise_features,0,G,CatBoost,4.466666666666667,5.0,0.02,0.3466666666666667,150
ood_primary,noise_features,0,H,CatBoost,5.593333333333334,6.0,0.0,0.0,150
ood_primary,n_train,131,G,CatBoost,4.166666666666667,4.0,0.16666666666666666,0.16666666666666666,6
ood_primary,n_train,134,E,CatBoost,5.333333333333333,5.0,0.0,0.0,3
ood_primary,n_train,134,F,CatBoost,3.6666666666666665,4.0,0.0,0.3333333333333333,3
ood_primary,n_train,137,F,CatBoost,4.666666666666667,5.0,0.0,0.0,3
ood_primary,n_train,137,H,CatBoost,5.666666666666667,6.0,0.0,0.0,3
ood_primary,n_train,138,E,CatBoost,5.333333333333333,5.0,0.0,0.0,6
ood_primary,n_train,139,H,CatBoost,5.0,5.0,0.0,0.0,3
ood_primary,n_train,140,G,CatBoost,4.333333333333333,5.0,0.0,0.3333333333333333,3
ood_primary,n_train,142,F,CatBoost,5.666666666666667,6.0,0.0,0.0,3
ood_primary,n_train,142,G,CatBoost,5.333333333333333,5.0,0.0,0.0,3
ood_primary,n_train,142,H,CatBoost,6.0,6.0,0.0,0.0,6
ood_primary,n_train,143,E,CatBoost,5.0,5.0,0.0,0.0,3
ood_primary,n_train,143,G,CatBoost,2.6666666666666665,3.0,0.0,1.0,3
ood_primary,n_train,144,G,CatBoost,3.3333333333333335,3.0,0.3333333333333333,0.6666666666666666,3
ood_primary,n_train,145,F,CatBoost,5.333333333333333,6.0,0.0,0.0,3
ood_primary,n_train,145,G,CatBoost,3.0,3.0,0.0,0.6666666666666666,3
ood_primary,n_train,145,H,CatBoost,5.333333333333333,5.0,0.0,0.0,3
ood_primary,n_train,146,E,CatBoost,5.0,5.0,0.0,0.0,6
ood_primary,n_train,146,F,CatBoost,5.666666666666667,6.0,0.0,0.0,3
ood_primary,n_train,146,H,CatBoost,7.333333333333333,7.0,0.0,0.0,3
ood_primary,n_train,147,E,CatBoost,4.833333333333333,5.0,0.0,0.0,6
ood_primary,n_train,147,F,CatBoost,5.0,5.0,0.0,0.0,3
ood_primary,n_train,147,G,CatBoost,5.333333333333333,6.0,0.0,0.0,3
ood_primary,n_train,148,E,CatBoost,5.333333333333333,5.0,0.0,0.0,3
ood_primary,n_train,148,G,CatBoost,2.3333333333333335,2.0,0.0,1.0,3
ood_primary,n_train,148,H,CatBoost,5.5,5.5,0.0,0.0,6
ood_primary,n_train,149,E,CatBoost,5.666666666666667,6.0,0.0,0.0,3
ood_primary,n_train,149,F,CatBoost,5.666666666666667,6.0,0.0,0.0,3
ood_primary,n_train,149,G,CatBoost,5.333333333333333,5.0,0.0,0.0,3
ood_primary,n_train,150,E,CatBoost,5.916666666666667,6.0,0.0,0.0,12
ood_primary,n_train,150,F,CatBoost,5.866666666666666,6.0,0.0,0.06666666666666667,15
ood_primary,n_train,151,F,CatBoost,4.555555555555555,4.0,0.0,0.3333333333333333,9
ood_primary,n_train,151,H,CatBoost,5.5,5.5,0.0,0.0,6
ood_primary,n_train,152,G,CatBoost,2.6666666666666665,3.0,0.0,1.0,3
ood_primary,n_train,152,H,CatBoost,5.333333333333333,5.0,0.0,0.0,6
ood_primary,n_train,153,E,CatBoost,5.222222222222222,5.0,0.0,0.0,9
ood_primary,n_train,153,F,CatBoost,6.0,6.0,0.0,0.0,3
ood_primary,n_train,153,G,CatBoost,3.1666666666666665,3.0,0.0,0.6666666666666666,6
ood_primary,n_train,153,H,CatBoost,5.666666666666667,5.5,0.0,0.0,6
ood_primary,n_train,154,E,CatBoost,5.166666666666667,5.0,0.0,0.0,6
ood_primary,n_train,154,F,CatBoost,6.333333333333333,6.0,0.0,0.0,3
ood_primary,n_train,154,G,CatBoost,4.666666666666667,5.5,0.0,0.3333333333333333,6
ood_primary,n_train,154,H,CatBoost,6.166666666666667,6.0,0.0,0.0,6
ood_primary,n_train,155,E,CatBoost,5.333333333333333,5.0,0.0,0.0,3
ood_primary,n_train,155,F,CatBoost,5.666666666666667,5.0,0.0,0.0,6
ood_primary,n_train,155,G,CatBoost,4.0,4.0,0.08333333333333333,0.5,12
ood_primary,n_train,155,H,CatBoost,5.0,5.0,0.0,0.0,6
ood_primary,n_train,156,E,CatBoost,5.666666666666667,5.5,0.0,0.0,6
ood_primary,n_train,156,F,CatBoost,4.666666666666667,5.5,0.0,0.3333333333333333,6
ood_primary,n_train,156,H,CatBoost,5.666666666666667,6.0,0.0,0.0,3
ood_primary,n_train,157,E,CatBoost,5.666666666666667,5.0,0.0,0.0,6
ood_primary,n_train,157,F,CatBoost,5.166666666666667,5.0,0.0,0.0,6
ood_primary,n_train,157,G,CatBoost,4.5,4.0,0.0,0.16666666666666666,6
ood_primary,n_train,157,H,CatBoost,5.666666666666667,6.0,0.0,0.0,6
ood_primary,n_train,158,E,CatBoost,5.666666666666667,5.5,0.0,0.0,12
ood_primary,n_train,158,F,CatBoost,5.916666666666667,6.5,0.0,0.0,12
ood_primary,n_train,158,G,CatBoost,4.111111111111111,5.0,0.0,0.4444444444444444,9
ood_primary,n_train,158,H,CatBoost,5.833333333333333,6.0,0.0,0.0,6
ood_primary,n_train,159,E,CatBoost,4.666666666666667,5.0,0.0,0.0,3
ood_primary,n_train,159,F,CatBoost,6.5,6.5,0.0,0.0,6
ood_primary,n_train,159,G,CatBoost,4.5,4.5,0.0,0.3333333333333333,6
ood_primary,n_train,160,E,CatBoost,5.333333333333333,5.0,0.0,0.0,3
ood_primary,n_train,160,G,CatBoost,2.6666666666666665,3.0,0.0,1.0,3
ood_primary,n_train,161,G,CatBoost,2.6666666666666665,2.0,0.0,0.6666666666666666,3
ood_primary,n_train,161,H,CatBoost,5.75,5.5,0.0,0.0,12
ood_primary,n_train,162,E,CatBoost,5.666666666666667,6.0,0.0,0.0,3
ood_primary,n_train,162,F,CatBoost,6.555555555555555,7.0,0.0,0.0,9
ood_primary,n_train,162,G,CatBoost,4.666666666666667,5.0,0.0,0.2,15
ood_primary,n_train,162,H,CatBoost,5.333333333333333,5.0,0.0,0.0,9
ood_primary,n_train,163,E,CatBoost,5.444444444444445,5.0,0.0,0.0,9
ood_primary,n_train,163,F,CatBoost,6.222222222222222,6.0,0.0,0.0,9
ood_primary,n_train,163,G,CatBoost,4.777777777777778,5.0,0.0,0.1111111111111111,9
ood_primary,n_train,163,H,CatBoost,5.333333333333333,5.0,0.0,0.0,6
ood_primary,n_train,164,E,CatBoost,5.222222222222222,5.0,0.0,0.0,9
ood_primary,n_train,164,F,CatBoost,6.666666666666667,6.0,0.0,0.0,3
ood_primary,n_train,164,H,CatBoost,5.5,5.0,0.0,0.0,6
ood_primary,n_train,165,G,CatBoost,5.5,5.5,0.0,0.16666666666666666,6
ood_primary,n_train,165,H,CatBoost,5.333333333333333,5.0,0.0,0.0,3
ood_primary,n_train,166,E,CatBoost,5.266666666666667,5.0,0.0,0.0,15
ood_primary,n_train,166,F,CatBoost,6.833333333333333,7.0,0.0,0.0,6
ood_primary,n_train,166,G,CatBoost,6.0,6.0,0.0,0.0,3
ood_primary,n_train,166,H,CatBoost,5.444444444444445,6.0,0.0,0.0,9
ood_primary,n_train,167,E,CatBoost,5.333333333333333,5.0,0.0,0.0,3
ood_primary,n_train,167,G,CatBoost,3.0,3.0,0.0,0.6666666666666666,3
ood_primary,n_train,167,H,CatBoost,6.0,6.0,0.0,0.0,3
ood_primary,n_train,168,F,CatBoost,6.333333333333333,6.0,0.0,0.0,3
ood_primary,n_train,168,G,CatBoost,6.333333333333333,6.0,0.0,0.0,3
ood_primary,n_train,169,E,CatBoost,6.0,5.0,0.0,0.0,3
ood_primary,n_train,169,F,CatBoost,5.666666666666667,6.0,0.0,0.0,3
ood_primary,n_train,169,G,CatBoost,6.333333333333333,6.0,0.0,0.0,3
ood_primary,n_train,169,H,CatBoost,5.444444444444445,5.0,0.0,0.0,9
ood_primary,n_train,170,E,CatBoost,5.333333333333333,5.0,0.0,0.0,3
ood_primary,n_train,170,G,CatBoost,6.833333333333333,7.0,0.0,0.0,6
ood_primary,n_train,170,H,CatBoost,5.666666666666667,6.0,0.0,0.0,3
ood_primary,n_train,171,F,CatBoost,5.666666666666667,6.0,0.0,0.0,9
ood_primary,n_train,172,F,CatBoost,6.333333333333333,6.0,0.0,0.0,3
ood_primary,n_train,172,H,CatBoost,5.5,5.0,0.0,0.0,6
