suite_id,suite_family,dataset_id,dataset_seed,split_seed,prior_regime,method,logical_dataset_key,n_total,n_train,n_holdout,p_signal,p_noise,p_total,feature_noise_level,target_noise_scale,training_size_anchor,raw_features,signal_features,noise_features,processed_features,selected_features,feature_selector,feature_cap,d_phi,d_rho,pool,context_windows,context_window_size,test_chunk_size,mc_k,mse,rmse,mae,r2,mse_betaX,rmse_betaX,mae_betaX,r2_betaX,prediction_std,target_std,variance_ratio,mean_bias,slope_y_pred_vs_y_true,gate_mean,gate_std,latent_ridge_mse,neural_mse,hybrid_mse,mse_y_observed,rmse_y_observed,mae_y_observed,r2_y_observed,fit_time_s,predict_time_s,total_time_s,status,skip_reason,error_type,error_message,rank_mse_betaX,rank_rmse_betaX,rank_mae_betaX,rank_r2_betaX,rank_overall,ratio_mse_to_fixed_ridge,ratio_rmse_to_fixed_ridge,ratio_mse_to_autogluon,ratio_rmse_to_autogluon,ratio_mse_to_best_tree,ratio_rmse_to_best_tree,beats_fixed_ridge,beats_autogluon,beats_best_tree,is_best_mse,is_top3_mse,noise_feature_bucket,training_size_bucket,p_total_quartile,n_train_quartile
linear_all_v1,ood_primary,6,2018792862,0,E,AutoGluon,linear_all_v1:E:0006,207,166,41,10,0,10,0,1.0,False,10.0,,,10.0,,,,,,,,,,,1.4653678429294643,1.2105237886673126,0.8728714747318498,0.84921251685224,1.4653678429294643,1.2105237886673126,0.8728714747318498,0.84921251685224,2.7217037677764893,3.117386729228832,0.8730722249689485,0.3734360116957064,0.8129087973713901,,,,,,2.2264972639266687,1.4921451886216264,1.1734971666988054,0.8038513357789481,302.67848186900005,0.4721366129999751,303.150618482,ok,,,,5.0,5.0,5.0,5.0,5.0,19.871748344007127,4.457773922487225,1.0,1.0,0.6236849608266524,0.7897372732919806,False,False,True,False,False,0,small(100-500),Q2,Q3
linear_all_v1,ood_primary,8,2066979149,0,E,AutoGluon,linear_all_v1:E:0008,195,156,39,10,0,10,0,1.0,False,10.0,,,10.0,,,,,,,,,,,1.0726846840755395,1.035704921334035,0.77672257675728,0.8265074740994248,1.0726846840755395,1.035704921334035,0.77672257675728,0.8265074740994248,2.0502943992614746,2.486541173250403,0.8245567864783566,-0.3170869839675206,0.7613314993111568,,,,,,1.3643362189467358,1.1680480379448166,0.8924032806959855,0.8017983325245022,304.552015432,0.3337361379999493,304.8857515699999,ok,,,,4.0,4.0,4.0,4.0,4.0,24.36845741247458,4.936441776469624,1.0,1.0,0.8678879604260603,0.9316050452987363,False,False,True,False,False,0,small(100-500),Q2,Q2
linear_all_v1,ood_primary,2,735807069,0,E,AutoGluon,linear_all_v1:E:0002,182,146,36,10,0,10,0,1.0,False,10.0,,,10.0,,,,,,,,,,,1.0293191212602817,1.0145536561760948,0.7430448556378537,0.7505505140004209,1.0293191212602817,1.0145536561760948,0.7430448556378537,0.7505505140004209,1.962840795516968,2.031345112820214,0.96627637673633,0.0095514030642233,0.8421313139373761,,,,,,1.40605151294617,1.1857704301196628,0.9803466286184448,0.6831489841264491,305.163578121,0.2524701550000827,305.4160482760001,ok,,,,6.0,6.0,7.0,6.0,6.0,8.816548337245168,2.9692673064655475,1.0,1.0,1.0936661638633745,1.045784951059908,False,False,False,False,False,0,small(100-500),Q2,Q1
linear_all_v1,ood_primary,4,663860243,0,E,AutoGluon,linear_all_v1:E:0004,205,164,41,11,0,11,0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,failed,,FileNotFoundError,[Errno 2] No such file or directory: '/tmp/ag_ray_shardna_E_d4_s0_pid116_c7eb5dba19d1_p0llk0gr/models/CatBoost_BAG_L2/S1F7/model.pkl',,,,,,,,,,,,False,False,False,False,False,0,small(100-500),,
linear_all_v1,ood_primary,0,969320454,0,E,AutoGluon,linear_all_v1:E:0000,226,181,45,14,0,14,0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,failed,,FileNotFoundError,[Errno 2] No such file or directory: '/tmp/ag_ray_shardna_E_d0_s0_pid116_faa13a44701f_pypnst8r/models/LightGBM_BAG_L2/S1F6/model.pkl',,,,,,,,,,,,False,False,False,False,False,0,small(100-500),,
linear_all_v1,ood_primary,12,2085929730,0,E,AutoGluon,linear_all_v1:E:0012,172,138,34,11,0,11,0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,failed,,RayTaskError(FileNotFoundError),"[36mray::_dystack()[39m (pid=5242, ip=10.244.41.75)
  File ""/opt/venv/lib/python3.11/site-packages/autogluon/tabular/predictor/predictor.py"", line 5809, in _dystack
    ho_leaderboard = predictor.leaderboard(data=val_data, **leaderboard_kwargs).reset_index(drop=True)
                     ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/opt/venv/lib/python3.11/site-packages/autogluon/tabular/predictor/predictor.py"", line 2777, in leaderboard
    return self._learner.leaderboa",,,,,,,,,,,,False,False,False,False,False,0,small(100-500),,
linear_all_v1,ood_primary,10,1300519127,0,E,AutoGluon,linear_all_v1:E:0010,185,148,37,10,0,10,0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,failed,,RayTaskError(FileNotFoundError),"[36mray::_dystack()[39m (pid=5176, ip=10.244.41.74)
  File ""/opt/venv/lib/python3.11/site-packages/autogluon/tabular/predictor/predictor.py"", line 5809, in _dystack
    ho_leaderboard = predictor.leaderboard(data=val_data, **leaderboard_kwargs).reset_index(drop=True)
                     ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/opt/venv/lib/python3.11/site-packages/autogluon/tabular/predictor/predictor.py"", line 2777, in leaderboard
    return self._learner.leaderboa",,,,,,,,,,,,False,False,False,False,False,0,small(100-500),,
linear_all_v1,ood_primary,14,464507549,0,E,AutoGluon,linear_all_v1:E:0014,204,163,41,7,0,7,0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,failed,,RayTaskError(FileNotFoundError),"[36mray::_dystack()[39m (pid=4695, ip=10.244.41.76)
  File ""/opt/venv/lib/python3.11/site-packages/autogluon/tabular/predictor/predictor.py"", line 5809, in _dystack
    ho_leaderboard = predictor.leaderboard(data=val_data, **leaderboard_kwargs).reset_index(drop=True)
                     ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/opt/venv/lib/python3.11/site-packages/autogluon/tabular/predictor/predictor.py"", line 2777, in leaderboard
    return self._learner.leaderboa",,,,,,,,,,,,False,False,False,False,False,0,small(100-500),,
linear_all_v1,ood_primary,16,365994733,0,E,AutoGluon,linear_all_v1:E:0016,193,154,39,8,0,8,0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,failed,,RayTaskError(FileNotFoundError),"[36mray::_dystack()[39m (pid=4550, ip=10.244.41.139)
  File ""/opt/venv/lib/python3.11/site-packages/autogluon/tabular/predictor/predictor.py"", line 5809, in _dystack
    ho_leaderboard = predictor.leaderboard(data=val_data, **leaderboard_kwargs).reset_index(drop=True)
                     ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/opt/venv/lib/python3.11/site-packages/autogluon/tabular/predictor/predictor.py"", line 2777, in leaderboard
    return self._learner.leaderbo",,,,,,,,,,,,False,False,False,False,False,0,small(100-500),,
linear_all_v1,ood_primary,18,1695700922,0,E,AutoGluon,linear_all_v1:E:0018,184,147,37,9,0,9,0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,failed,,RayTaskError(FileNotFoundError),"[36mray::_dystack()[39m (pid=4330, ip=10.244.41.138)
  File ""/opt/venv/lib/python3.11/site-packages/autogluon/tabular/predictor/predictor.py"", line 5809, in _dystack
    ho_leaderboard = predictor.leaderboard(data=val_data, **leaderboard_kwargs).reset_index(drop=True)
                     ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/opt/venv/lib/python3.11/site-packages/autogluon/tabular/predictor/predictor.py"", line 2777, in leaderboard
    return self._learner.leaderbo",,,,,,,,,,,,False,False,False,False,False,0,small(100-500),,
