method,valid_count,skip_count,failure_count,mean_mse_betaX,median_mse_betaX,std_mse_betaX,iqr_mse_betaX,mean_rmse_betaX,median_rmse_betaX,mean_mae_betaX,median_mae_betaX,mean_r2_betaX,median_r2_betaX,mean_prediction_std,mean_target_std,mean_variance_ratio,mean_bias,mean_slope_y_pred_vs_y_true,mean_gate,mean_latent_ridge_mse,mean_neural_mse,mean_hybrid_mse,mean_rank_mse_betaX,median_rank_mse_betaX,win_rate_mse,top3_rate_mse,mean_ratio_mse_to_fixed_ridge,median_ratio_mse_to_fixed_ridge,mean_ratio_mse_to_autogluon,median_ratio_mse_to_autogluon,mean_ratio_mse_to_best_tree,median_ratio_mse_to_best_tree,beats_fixed_ridge_rate,beats_autogluon_rate,beats_best_tree_rate,mean_fit_time_s,mean_predict_time_s,mean_total_time_s,skip_reasons
AutoGluon,6,0,1344,1.370918811985297,1.4041449578967962,0.3003599641582437,0.3276375038971435,1.1650657629981345,1.1846844674321093,0.8657904267014094,0.8812865988062946,0.808515982905554,0.8378599954758323,2.5011045138041177,2.8431618025535776,0.8730358264947468,-0.030293562627249915,0.7981246920096913,,,,,5.0,5.0,0.0,0.0,17.533521059765352,18.46359689439682,1.0,1.0,0.7677956513292079,0.7816899602653392,0.0,0.0,0.8333333333333334,302.4823276976667,0.4301719423333452,302.91249964,
CatBoost,1200,0,0,295.21010605487606,1.4446529914498485,9178.561081629396,2.4366787970557144,2.410946854801954,1.2019367572204076,1.322799518936743,0.9060987079805626,-16.14026121073822,0.7820814235595581,3.231439597346452,2.655554258585483,1.3160418376904552,0.20946578559089726,0.7618758565248855,,,,,5.383333333333334,5.0,0.0025,0.049166666666666664,21.001821314412663,12.32499197309108,1.434788711808063,1.3252593992651969,1.9798122324925562,1.0283233545544657,0.056666666666666664,0.0008333333333333334,0.0,0.10388967878750474,0.0006304921316630509,0.10452017091916785,
FixedRidgeLambda1,1200,0,0,2375.0339146934784,0.0882481919258339,59667.086278378505,0.10530364369802081,3.1793263536106378,0.29706597232270426,2.5475976367492352,0.2381049982791894,-95.05775807853746,0.9860503041243756,5.254903700343667,2.655554258585483,1.7925499903452045,0.30934708461329974,1.2059579473150313,,,,,1.8416666666666666,2.0,0.41583333333333333,0.9466666666666667,1.0,1.0,0.06314455145427213,0.05418483863360976,38.53844663748164,0.09135557588096604,0.0,0.005,0.9166666666666666,0.0006029269216635064,8.191057000273184e-05,0.0006848374916662405,
KNN,1200,0,0,83.5744934237598,2.905897137573462,1195.4403081828866,4.189841042958936,2.9251322580762142,1.7046692143961546,1.7204227552818652,1.3462956956774674,-29.160332052027485,0.5987651126596176,3.010204398299255,2.655554258585483,1.4523575624092702,0.0733548418727504,0.5220903388370005,,,,,8.455,9.0,0.0,0.0175,41.80966422787039,24.47374209320342,2.138370502957905,1.9128572626314704,4.396069966468065,2.0446350028094367,0.0275,0.0,0.03666666666666667,0.00039116091166713565,0.0008069407058346643,0.0011981016175018507,
LightGBM,1200,0,0,4210.420771965843,1.7064127143714742,122027.92896201948,2.511692189987329,5.189787432819191,1.3062973235037476,3.1782236942317477,1.0217098171736494,-174.40848798248902,0.7514030061044468,6.087098805967943,2.655554258585483,2.2168110821909504,0.908867918954007,0.8407802094210884,,,,,6.948333333333333,7.0,0.0,0.0016666666666666668,25.320740642492343,15.241960848701291,1.8230202837607585,1.7434541000569044,34.31170219443633,1.431145458654996,0.0033333333333333335,0.0,0.0,0.015158456847501457,0.0009431001683342162,0.016101557015835724,
LinearRegression,1200,0,0,2411.860673372387,0.08930600144171666,60581.71233505937,0.10601880072223988,3.2020106668074995,0.2988410972540215,2.56540558086162,0.23953964919482656,-96.52161226976712,0.985783369730397,5.292929221678374,2.655554258585483,1.8052718147385862,0.3083243485503719,1.214774606381482,,,,,2.1591666666666667,2.0,0.2966666666666667,0.9091666666666667,1.012026024882197,1.0115943024523568,0.06558208488712343,0.054244223279244885,39.17692146778826,0.0932236099334598,0.3491666666666667,0.005,0.915,0.00044775860500326345,6.922347082975573e-05,0.0005169820758330201,
MLP,1200,0,0,1070.1008064364087,0.8075149037571546,23996.70051845088,0.765973037303566,5.112327978538097,0.8986176874112275,3.3005260561450296,0.7081291764195599,-82.42747877425812,0.8554704080625903,6.721978607948914,2.655554258585483,2.8073778821266306,0.04755808700071113,1.0781951432900978,,,,,6.355,5.0,0.0,0.005,15.555165694621634,10.815350747641649,0.6967651945891106,0.6146224593981796,20.041520354197257,0.9922140803403066,0.0016666666666666668,0.004166666666666667,0.5033333333333333,5.1357834594375,0.004370032949163597,5.140153492386663,
MODEL3-ICL-MC,1194,6,0,2729.955778211771,0.1341613273067104,71147.2923508211,0.17752836426077118,3.578023254022636,0.36628038192036927,2.764680918374511,0.29595327632180957,-110.49512143641995,0.9793811262241187,5.583205850195403,2.645578823087716,1.9346102108661638,0.28568852247175497,1.149705774889888,,,,,3.0117252931323284,3.0,0.16415410385259632,0.8534338358458962,1.6585181404190987,1.4660921092666725,0.12059456459858736,0.0973035402545819,36.43275761355153,0.13381867163980665,0.2018425460636516,0.005025125628140704,0.8726968174204355,,0.08454345865159149,0.08454345865159149,gpu_oom:gpu_oom:model3_estimated_h_tensor_bytes=297979328 exceeds BENCHMARK_DEEPSET_MAX_GPU_INFERENCE_BYTES=268435456:3; gpu_oom:gpu_oom:model3_estimated_h_tensor_bytes=289601216 exceeds BENCHMARK_DEEPSET_MAX_GPU_INFERENCE_BYTES=268435456:3
RandomForest,1200,0,0,3075.828431752078,1.997005084338094,98030.6441084211,3.6598966805673765,4.7713163194425166,1.4131541177756093,1.8917167279608122,1.0976351633032717,-169.6419420911991,0.7023160899623793,5.319693629079219,2.655554258585483,2.062594675948622,0.5313302174392457,0.795057985730817,,,,,6.4575,7.0,0.0175,0.07166666666666667,28.53552153283826,16.033068133557453,1.8373107635312138,1.6009857843113713,4.734495198016509,1.3560770707485004,0.05333333333333334,0.0,0.0,0.252568389909997,0.007155552021667674,0.2597239419316647,
Ridge,1200,0,0,2375.0339146934784,0.0882481919258339,59667.086278378505,0.10530364369802081,3.1793263536106378,0.29706597232270426,2.5475976367492352,0.2381049982791894,-95.05775807853746,0.9860503041243756,5.254903700343667,2.655554258585483,1.7925499903452045,0.30934708461329974,1.2059579473150313,,,,,1.8416666666666666,2.0,0.41583333333333333,0.9466666666666667,1.0,1.0,0.06314455145427213,0.05418483863360976,38.53844663748164,0.09135557588096604,0.0,0.005,0.9166666666666666,0.0004565269058327316,7.118857667375329e-05,0.0005277154825064883,
SVR,1200,0,0,2.7384242522011317,1.7176977212788216,3.9876484372099843,2.727279193167565,1.4252365033259704,1.310609673009562,1.0127300102227965,0.9032157533729699,-0.9637948543428866,0.7255285604412282,1.6665234976542491,2.655554258585483,0.732540213219138,0.007916617336016948,0.5924072748925763,,,,,6.266666666666667,7.0,0.10416666666666667,0.12416666666666666,34.64105827796921,16.248287541044938,1.9837388687785218,1.9708190862474555,1.7364090278748194,1.3907502848552977,0.11333333333333333,0.0,0.2675,0.0018687992691677358,0.0004858476491667313,0.0023546469183345162,
XGBoost,1200,0,0,28765.71841223831,2.4117565388096933,984130.8735838613,3.85651305877985,8.625750853491994,1.5529807551259873,2.439577580111706,1.2049965615224556,-1098.5117965136444,0.6404218702466767,9.310795256768664,2.655554258585483,3.021308620068422,0.885793773659445,0.901972162518854,,,,,8.116666666666667,8.0,0.0,0.025833333333333333,35.45684943939134,21.58055981357864,2.4133646269313185,2.169542499663512,3.6393254038370886,1.911867498700491,0.035833333333333335,0.0,0.0,0.05903928741582643,0.0008617289074971608,0.05990101632332364,
