n_train,prior_regime,method,valid_count,n_holdout,mean_mse_betaX,median_mse_betaX,std_mse_betaX,mean_rmse_betaX,mean_r2_betaX,mean_rank_mse_betaX,mean_context_window_size,mean_context_windows,base25_mse,base25_rmse,base25_r2,mse_improvement_vs_25,rmse_improvement_vs_25,r2_improvement_vs_25,relative_mse_improvement_pct,is_tabpfn_anchor
128,B,CatBoost,3,32,3.0105963013905885,2.919527294429999,1.666636479172487,1.6869951795462124,0.9128120980144449,7.0,,,,,,,,,,False
128,B,FixedRidgeLambda1,3,32,0.06649571880015746,0.0685744559568962,0.020772466504752028,0.2556506631953175,0.9977864271103897,1.6666666666666667,,,,,,,,,,False
128,B,KNN,3,32,10.432160087146322,11.232058920047818,1.5028992996253534,3.2240287408689983,0.6772917473481429,9.0,,,,,,,,,,False
128,B,LightGBM,3,32,3.5332728045406143,3.958556937373768,1.8299760052647533,1.8290019911524684,0.8979252998722798,8.0,,,,,,,,,,False
128,B,LinearRegression,3,32,0.07941376413054223,0.0785977393198668,0.017965807119293183,0.28059242301976034,0.9973845488233725,2.6666666666666665,,,,,,,,,,False
128,B,MLP,3,32,0.867274451490621,0.8877128821973044,0.04096565349818607,0.9311001381300246,0.9726937180288209,4.0,,,,,,,,,,False
128,B,MODEL3-ICL-MC,3,32,0.06948797484393908,0.0758897718068257,0.03517604348095269,0.2569826668316367,0.99774367025445,1.6666666666666667,200.0,5.0,,,,,,,,False
128,B,RandomForest,3,32,1.8324792863782589,1.7054155219802165,0.7456587111439859,1.3350225602056927,0.9453638402425658,5.666666666666667,,,,,,,,,,False
128,B,Ridge,3,32,0.06649571880015746,0.0685744559568962,0.020772466504752028,0.2556506631953175,0.9977864271103897,1.6666666666666667,,,,,,,,,,False
128,B,SVR,3,32,12.109074130835802,11.77253312295776,2.300414881053452,3.469442757682326,0.6266294902245285,10.0,,,,,,,,,,False
128,B,XGBoost,3,32,1.611749238913166,1.4723068479401935,0.34980340515602154,1.264769658089774,0.9502377646772423,5.333333333333333,,,,,,,,,,False
