benchmark_suite,source,task_id,dataset_name,name,rep,seed,method,mse,rmse,r2,rank_mse,rank_rmse,rank_r2,raw_features,processed_features,selected_features,feature_selector,feature_cap,processed_matrix_bytes,estimated_gpu_inference_bytes
openml,openml,361259,pumadyn32nh,pumadyn32nh,0,0,AutoGluon,0.0004552539584957,0.0213366810562397,0.6653904534020159,1.0,1.0,1.0,,,,,,,
openml,openml,361259,pumadyn32nh,pumadyn32nh,1,1,AutoGluon,0.0004420257883053,0.0210244093449825,0.6657598958637172,1.0,1.0,1.0,,,,,,,
openml,openml,361259,pumadyn32nh,pumadyn32nh,2,2,AutoGluon,0.0004572778195833,0.0213840552651575,0.6463234657974171,1.0,1.0,1.0,,,,,,,
openml,openml,361259,pumadyn32nh,pumadyn32nh,3,3,AutoGluon,0.000491226510919,0.0221636303641581,0.6174312444077776,1.0,1.0,1.0,,,,,,,
openml,openml,361259,pumadyn32nh,pumadyn32nh,4,4,AutoGluon,0.0003932338953771,0.0198301259546454,0.7010875394810334,1.0,1.0,1.0,,,,,,,
openml,openml,361259,pumadyn32nh,pumadyn32nh,5,5,AutoGluon,0.000472214156015,0.0217304890882619,0.6486328450095451,1.0,1.0,1.0,,,,,,,
openml,openml,361259,pumadyn32nh,pumadyn32nh,6,6,AutoGluon,0.0004205830250713,0.0205081209541821,0.664417039708777,1.0,1.0,1.0,,,,,,,
openml,openml,361259,pumadyn32nh,pumadyn32nh,7,7,AutoGluon,0.0004396553523631,0.0209679601383429,0.6444720448688487,1.0,1.0,1.0,,,,,,,
openml,openml,361259,pumadyn32nh,pumadyn32nh,8,8,AutoGluon,0.0004164003575739,0.0204058902666351,0.67423323289333,1.0,1.0,1.0,,,,,,,
openml,openml,361259,pumadyn32nh,pumadyn32nh,9,9,AutoGluon,0.000458623988943,0.0214155081411345,0.650861899457214,1.0,1.0,1.0,,,,,,,
openml,openml,361250,red_wine,red_wine,0,0,AutoGluon,0.3120491527938114,0.5586135988264261,0.4785261236685443,1.0,1.0,1.0,,,,,,,
openml,openml,361250,red_wine,red_wine,1,1,AutoGluon,0.2421922534463846,0.4921303216083973,0.5125690496676536,1.0,1.0,1.0,,,,,,,
openml,openml,361250,red_wine,red_wine,2,2,AutoGluon,0.2823613221563036,0.5313768174810636,0.4336845936069122,1.0,1.0,1.0,,,,,,,
openml,openml,361250,red_wine,red_wine,3,3,AutoGluon,0.295553790640534,0.5436485911326673,0.4837488373091111,2.0,2.0,2.0,,,,,,,
openml,openml,361250,red_wine,red_wine,4,4,AutoGluon,0.3084240442015655,0.5553593829238554,0.5103165758149295,2.0,2.0,2.0,,,,,,,
openml,openml,361250,red_wine,red_wine,5,5,AutoGluon,0.2441233317280733,0.4940883845306155,0.5507470855985422,1.0,1.0,1.0,,,,,,,
openml,openml,361250,red_wine,red_wine,6,6,AutoGluon,0.2610528957348535,0.5109333574301579,0.5479603537058815,1.0,1.0,1.0,,,,,,,
openml,openml,361250,red_wine,red_wine,7,7,AutoGluon,0.2374642559290777,0.4873030432175421,0.4681930756902818,1.0,1.0,1.0,,,,,,,
openml,openml,361250,red_wine,red_wine,8,8,AutoGluon,0.3222695938229222,0.5676879370066993,0.4842397098107772,2.0,2.0,2.0,,,,,,,
openml,openml,361250,red_wine,red_wine,9,9,AutoGluon,0.2543214207022728,0.5043029057047688,0.5727653802757278,1.0,1.0,1.0,,,,,,,
openml,openml,361236,auction_verification,auction_verification,0,0,AutoGluon,63341.48878856674,251.6773505672824,0.9992704368197328,1.0,1.0,1.0,,,,,,,
openml,openml,361236,auction_verification,auction_verification,1,1,AutoGluon,40219.66207471782,200.54840332128757,0.9996059415932964,1.0,1.0,1.0,,,,,,,
openml,openml,361236,auction_verification,auction_verification,2,2,AutoGluon,105000.79384540596,324.03825984813267,0.9991278286591412,1.0,1.0,1.0,,,,,,,
openml,openml,361236,auction_verification,auction_verification,3,3,AutoGluon,117624.79984222366,342.9647209877769,0.998828509042882,2.0,2.0,2.0,,,,,,,
openml,openml,361236,auction_verification,auction_verification,4,4,AutoGluon,68296.68484781287,261.33634429182035,0.999299824141674,1.0,1.0,1.0,,,,,,,
openml,openml,361236,auction_verification,auction_verification,5,5,AutoGluon,101788.58046352337,319.04322663790145,0.9991660686532512,1.0,1.0,1.0,,,,,,,
openml,openml,361236,auction_verification,auction_verification,6,6,AutoGluon,109657.86384493115,331.1462876810356,0.9988647886884436,1.0,1.0,1.0,,,,,,,
openml,openml,361236,auction_verification,auction_verification,7,7,AutoGluon,92552.54099056764,304.22449110906183,0.9992154852958088,1.0,1.0,1.0,,,,,,,
openml,openml,361236,auction_verification,auction_verification,8,8,AutoGluon,125085.50057177056,353.6742859917449,0.9988890987540032,1.0,1.0,1.0,,,,,,,
openml,openml,361236,auction_verification,auction_verification,9,9,AutoGluon,49939.2584653953,223.4709342742257,0.999453423856328,1.0,1.0,1.0,,,,,,,
openml,openml,361622,cars,cars,0,0,AutoGluon,4190161.3977152505,2046.9883726380203,0.9554667339543508,1.0,1.0,1.0,,,,,,,
openml,openml,361622,cars,cars,1,1,AutoGluon,6594483.770358168,2567.9726965756795,0.955112711584179,1.0,1.0,1.0,,,,,,,
openml,openml,361622,cars,cars,2,2,AutoGluon,4002518.610706777,2000.629553592263,0.9551361955730464,1.0,1.0,1.0,,,,,,,
openml,openml,361622,cars,cars,3,3,AutoGluon,4001044.907733411,2000.261209875703,0.9561984669519944,1.0,1.0,1.0,,,,,,,
openml,openml,361622,cars,cars,4,4,AutoGluon,3303442.321232902,1817.5374332411704,0.9693129777394364,1.0,1.0,1.0,,,,,,,
openml,openml,361622,cars,cars,5,5,AutoGluon,5632176.522432834,2373.22070664168,0.954164162443661,1.0,1.0,1.0,,,,,,,
openml,openml,361622,cars,cars,6,6,AutoGluon,4812700.004142008,2193.7866815490534,0.957796784791516,1.0,1.0,1.0,,,,,,,
openml,openml,361622,cars,cars,7,7,AutoGluon,5886923.622640668,2426.2983375176,0.9065492924025784,1.0,1.0,1.0,,,,,,,
openml,openml,361622,cars,cars,8,8,AutoGluon,4222358.260767348,2054.8377699388698,0.9489531206899438,1.0,1.0,1.0,,,,,,,
openml,openml,361622,cars,cars,9,9,AutoGluon,6146683.001970362,2479.250491977437,0.9379227243249249,1.0,1.0,1.0,,,,,,,
openml,openml,361237,concrete_compressive_strength,concrete_compressive_strength,0,0,AutoGluon,17.432465329898143,4.175220392973063,0.9360881979744508,1.0,1.0,1.0,,,,,,,
openml,openml,361237,concrete_compressive_strength,concrete_compressive_strength,1,1,AutoGluon,10.885489821779592,3.299316568894169,0.9526945381582308,1.0,1.0,1.0,,,,,,,
openml,openml,361237,concrete_compressive_strength,concrete_compressive_strength,2,2,AutoGluon,5.6806423096016,2.3834098073142185,0.9742714400700992,1.0,1.0,1.0,,,,,,,
openml,openml,361237,concrete_compressive_strength,concrete_compressive_strength,3,3,AutoGluon,9.685114847567482,3.11209171580265,0.9684403594178363,3.0,3.0,3.0,,,,,,,
openml,openml,361237,concrete_compressive_strength,concrete_compressive_strength,4,4,AutoGluon,13.971098715916623,3.737793294969189,0.9553960042403536,1.0,1.0,1.0,,,,,,,
openml,openml,361237,concrete_compressive_strength,concrete_compressive_strength,5,5,AutoGluon,15.060075423741264,3.880731300121314,0.9346844231093746,1.0,1.0,1.0,,,,,,,
