method,rank_mse_mean,rank_mse_ci_lo,rank_mse_ci_hi,rank_rmse_mean,rank_rmse_ci_lo,rank_rmse_ci_hi,rank_r2_mean,rank_r2_ci_lo,rank_r2_ci_hi,mse_mean,mse_ci_lo,mse_ci_hi,rmse_mean,rmse_ci_lo,rmse_ci_hi,r2_mean,r2_ci_lo,r2_ci_hi
AutoGluon,1.1823529411764706,1.1282095152550806,1.2364963670978606,1.1823529411764706,1.1282095152550806,1.2364963670978606,1.1823529411764706,1.1282095152550806,1.2364963670978606,292177.79094107944,246071.81587151386,338283.766010645,148.666889817447,138.9127676959969,158.42101193889707,0.7429302962241447,0.7360413025605688,0.7498192898877207
CatBoost,3.0941176470588236,2.9549782403262745,3.2332570537913727,3.0941176470588236,2.9549782403262745,3.2332570537913727,3.0941176470588236,2.9549782403262745,3.2332570537913727,313313.92427545355,262107.85739902718,364519.99115187995,165.00867033085163,153.81250481279025,176.204835848913,0.7113771131051815,0.7041323100385266,0.7186219161718364
DeepSetModel-MC,6.935294117647058,6.89344872942723,6.977139505866886,6.935294117647058,6.89344872942723,6.977139505866886,6.935294117647058,6.89344872942723,6.977139505866886,12187124.522836205,11164645.554473152,13209603.491199257,1198.4346647771276,1148.73832045512,1248.1310090991353,-0.004835046685915714,-0.006514958027785703,-0.003155135344045725
KNN,8.111764705882354,7.9200050468801795,8.30352436488453,8.111764705882354,7.9200050468801795,8.30352436488453,8.111764705882354,7.9200050468801795,8.30352436488453,7443791.636733627,6543367.912866856,8344215.360600398,822.7846072612878,781.9095077499943,863.6597067725812,0.41549563450500127,0.40457876596695275,0.4264125030430498
LightGBM,3.970588235294117,3.7973724289408706,4.143804041647363,3.970588235294117,3.7973724289408706,4.143804041647363,3.970588235294117,3.7973724289408706,4.143804041647363,438964.0361178876,385851.1166963654,492076.95553940977,214.63680739097862,203.7383043475789,225.53531043437835,0.7027055495792855,0.6970616453111995,0.7083494538473716
LinearRegression,7.764705882352942,7.546503101524596,7.982908663181288,7.764705882352942,7.546503101524596,7.982908663181288,7.764705882352942,7.546503101524596,7.982908663181288,2787446.253000428,2597407.3409492048,2977485.165051651,541.9339240904889,523.0884215634585,560.7794266175192,0.4924351086023647,0.48273288785396284,0.5021373293507666
MLP,5.635294117647058,5.501048432763147,5.76953980253097,5.635294117647058,5.501048432763147,5.76953980253097,5.635294117647058,5.501048432763147,5.76953980253097,858707.3150736237,712954.4197751727,1004460.2103720746,316.7491560749421,292.2965920593061,341.20172009057814,0.5017821226206887,0.48630946277095727,0.51725478247042
RandomForest,4.041176470588235,3.9080344960041797,4.174318445172291,4.041176470588235,3.9080344960041797,4.174318445172291,4.041176470588235,3.9080344960041797,4.174318445172291,393866.0027106904,323154.17334097397,464577.8320804068,194.06759211754883,178.79601298219544,209.33917125290222,0.7004315982199983,0.694083117632078,0.7067800788079187
Ridge,7.805882352941177,7.613508078071386,7.998256627810968,7.805882352941177,7.613508078071386,7.998256627810968,7.805882352941177,7.613508078071386,7.998256627810968,2787046.7174726096,2596302.6193908555,2977790.8155543637,541.8783228780339,522.8082979770484,560.9483477790195,0.49024627987000774,0.4806080058656741,0.4998845538743414
SVR,6.870588235294117,6.678469811415142,7.0627066591730925,6.870588235294117,6.678469811415142,7.0627066591730925,6.870588235294117,6.678469811415142,7.0627066591730925,14771670.3775374,13529842.889309255,16013497.865765544,1314.6491342322715,1259.0179179769293,1370.2803504876138,0.4016496505110913,0.39315405558554417,0.41014524543663844
XGBoost,4.588235294117647,4.333429342385684,4.8430412458496095,4.588235294117647,4.333429342385684,4.8430412458496095,4.588235294117647,4.333429342385684,4.8430412458496095,407461.65937253606,357476.69551929785,457446.62322577427,176.74409509089813,167.78141484828217,185.7067753335141,0.6834276003054611,0.6723364613331756,0.6945187392777467
