suite_id,suite_family,dataset_id,dataset_seed,split_seed,prior_regime,method,logical_dataset_key,n_total,n_train,n_holdout,p_signal,p_noise,p_total,feature_noise_level,target_noise_scale,training_size_anchor,raw_features,signal_features,noise_features,processed_features,selected_features,feature_selector,feature_cap,d_phi,d_rho,pool,context_windows,context_window_size,test_chunk_size,mc_k,mse_betaX,rmse_betaX,mae_betaX,r2_betaX,mse_y_observed,rmse_y_observed,mae_y_observed,r2_y_observed,fit_time_s,predict_time_s,total_time_s,status,skip_reason,error_type,error_message
linear_all_v1,primary,,,,,AutoGluon,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,,,,,,,,,,failed,,KeyError,'stage_path'
linear_all_v1,primary,,,,,AutoGluon,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,,,,,,,,,,failed,,KeyError,'stage_path'
linear_all_v1,primary,,,,,AutoGluon,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,,,,,,,,,,failed,,KeyError,'stage_path'
linear_all_v1,primary,,,,,AutoGluon,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,,,,,,,,,,failed,,KeyError,'stage_path'
linear_all_v1,primary,,,,,AutoGluon,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,,,,,,,,,,failed,,KeyError,'stage_path'
linear_all_v1,primary,,,,,AutoGluon,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,,,,,,,,,,failed,,KeyError,'stage_path'
linear_all_v1,primary,,,,,AutoGluon,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,,,,,,,,,,failed,,KeyError,'stage_path'
linear_all_v1,primary,,,,,AutoGluon,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,,,,,,,,,,failed,,KeyError,'stage_path'
linear_all_v1,primary,,,,,AutoGluon,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,,,,,,,,,,failed,,KeyError,'stage_path'
linear_all_v1,primary,,,,,AutoGluon,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,,,,,,,,,,failed,,KeyError,'stage_path'
linear_all_v1,primary,,,,,AutoGluon,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,,,,,,,,,,failed,,KeyError,'stage_path'
linear_all_v1,primary,,,,,AutoGluon,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,,,,,,,,,,failed,,KeyError,'stage_path'
linear_all_v1,primary,,,,,AutoGluon,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,,,,,,,,,,failed,,KeyError,'stage_path'
