x_n_train,n_holdout,prior_regime,method,mean_mse_betaX,median_mse_betaX,std_mse_betaX,mean_rmse_betaX,mean_r2_betaX,mean_rank_mse_betaX,mean_context_window_size,mean_context_windows,valid_count,relative_mse_improvement_pct,is_tabpfn_anchor
128,32,B,AutoGluon,0.661531115413643,0.6638523426643,0.33792596471695197,0.7939211622576213,0.9807434877634688,3.3333333333333335,,,3,,False
128,32,B,CatBoost,3.0105963013905885,2.919527294429999,1.666636479172487,1.6869951795462124,0.9128120980144449,7.0,,,3,,False
128,32,B,DeepSetModel-MC,34.314986282162046,36.24548394423269,8.114060669492126,5.828979850959282,-0.0446128987453582,11.0,200.0,5.0,3,,False
128,32,B,FixedRidgeLambda1,0.06649571880015746,0.0685744559568962,0.020772466504752028,0.2556506631953175,0.9977864271103897,1.0,,,3,,False
128,32,B,KNN,10.432160087146322,11.232058920047818,1.5028992996253534,3.2240287408689983,0.6772917473481429,9.0,,,3,,False
128,32,B,LightGBM,3.5332728045406143,3.958556937373768,1.8299760052647533,1.8290019911524684,0.8979252998722798,8.0,,,3,,False
128,32,B,LinearRegression,0.07941376413054223,0.0785977393198668,0.017965807119293183,0.28059242301976034,0.9973845488233725,2.0,,,3,,False
128,32,B,MLP,0.867274451490621,0.8877128821973044,0.04096565349818607,0.9311001381300246,0.9726937180288209,3.6666666666666665,,,3,,False
128,32,B,RandomForest,1.8324792863782589,1.7054155219802165,0.7456587111439859,1.3350225602056927,0.9453638402425658,5.666666666666667,,,3,,False
128,32,B,Ridge,0.06649571880015746,0.0685744559568962,0.020772466504752028,0.2556506631953175,0.9977864271103897,1.0,,,3,,False
128,32,B,SVR,12.109074130835802,11.77253312295776,2.300414881053452,3.469442757682326,0.6266294902245285,10.0,,,3,,False
128,32,B,XGBoost,1.611749238913166,1.4723068479401935,0.34980340515602154,1.264769658089774,0.9502377646772423,5.333333333333333,,,3,,False
131,33,G,AutoGluon,18.16078376748125,16.320691477313797,17.96511828597509,3.693573587049786,-3.3114263357861873,3.6666666666666665,,,6,,False
131,33,G,CatBoost,44.01431469685044,21.782217440971056,54.97621714598032,5.517076342874532,-9.716455731689924,5.0,,,6,,False
131,33,G,DeepSetModel-MC,17.665551125779047,14.910035350332016,6.653850263629108,4.142813284236859,-2.0427603342000507,4.666666666666667,200.0,5.0,6,,False
131,33,G,FixedRidgeLambda1,20.25393667555832,20.353457354335426,17.03426897032807,4.069789773563973,-3.627968242710377,3.8333333333333335,,,6,,False
131,33,G,KNN,38.54976361257104,22.359379910785464,40.01581015657843,5.64402839300389,-7.401672607956718,6.666666666666667,,,6,,False
131,33,G,LightGBM,105.6385844954466,73.69597284999995,110.13161498025045,8.974201233885495,-24.474040599020228,8.833333333333334,,,6,,False
131,33,G,LinearRegression,20.474061927173313,20.579446253709886,17.17580131721883,4.094819495371961,-3.674124735018348,4.833333333333333,,,6,,False
