method,valid_count,skip_count,failure_count,mean_mse_betaX,median_mse_betaX,std_mse_betaX,iqr_mse_betaX,mean_rmse_betaX,median_rmse_betaX,mean_mae_betaX,median_mae_betaX,mean_r2_betaX,median_r2_betaX,mean_rank_mse_betaX,median_rank_mse_betaX,win_rate_mse,top3_rate_mse,mean_ratio_mse_to_fixed_ridge,median_ratio_mse_to_fixed_ridge,mean_ratio_mse_to_autogluon,median_ratio_mse_to_autogluon,mean_ratio_mse_to_best_tree,median_ratio_mse_to_best_tree,beats_fixed_ridge_rate,beats_autogluon_rate,beats_best_tree_rate,mean_fit_time_s,mean_predict_time_s,mean_total_time_s,skip_reasons
AutoGluon,1200,0,0,227.67222341774254,0.3227162850420461,7740.196822797214,0.39297080380078125,1.364363611924545,0.5680811828642733,0.7971814734149101,0.4363850557946396,-9.470054878436484,0.9477443023448141,3.0883333333333334,3.0,0.03666666666666667,0.8341666666666666,5.045369408246652,3.231627333669679,1.0,1.0,0.4959186643451104,0.3084119889714681,0.16416666666666666,0.0,0.9066666666666666,280.27424697509167,0.21035728031670545,280.4846042554084,
CatBoost,1200,0,0,295.1999608109844,1.429518679650589,9178.561402473382,2.416816477131311,2.408313628841302,1.1956248054781042,1.3208747375295213,0.8980560933469686,-16.139255459754942,0.7836970391226933,5.5841666666666665,5.0,0.0016666666666666668,0.024166666666666666,20.919538003392898,12.373351426706066,4.87829340424921,3.681298983390823,1.9784481374191425,1.0252733806359982,0.056666666666666664,0.0325,0.0,0.10351152319416947,0.0006324239091666066,0.10414394710333613,
DeepSetModel-MC,1200,0,0,77.96385446466142,8.008402923903407,1627.3004732338911,9.798816934530153,3.208154103797044,2.82991182103573,2.6741933764489474,2.2749351943524734,-3.6734193845452046,-0.0156430884515289,9.276666666666667,11.0,0.0925,0.13083333333333333,130.72493948788275,74.31882555720725,23.02674083799677,19.776622981598212,8.464919132714071,5.241583365034822,0.16416666666666666,0.11416666666666667,0.14416666666666667,,0.09378066295332924,0.09378066295332924,
FixedRidgeLambda1,1200,0,0,2375.033742413903,0.08822009314628976,59667.086285240744,0.10561350382988809,3.179136030806422,0.2970186715453391,2.547450861111965,0.2385042271175363,-95.0576140062365,0.9860651672398419,1.9733333333333334,2.0,0.43583333333333335,0.9016666666666666,1.0,1.0,2.4235872668059946,0.3094426056604295,38.53883532635971,0.09114822652663115,0.0,0.8358333333333333,0.9166666666666666,0.0006037786533234028,8.572461500195328e-05,0.0006895032683253613,
KNN,1200,0,0,83.57025179517484,2.911862093196512,1195.4405273002294,4.18318608639766,2.9247193602523565,1.7064178388851947,1.7198572071522327,1.34687881701351,-29.16017459545305,0.5993500064711452,8.67,9.0,0.0,0.008333333333333333,41.790491537114264,24.58933753689267,10.92811021911187,7.34077564282939,4.401627407058161,2.0622335584468408,0.0275,0.015,0.03666666666666667,0.00039215582583044595,0.0007096081674950104,0.0011017639933255051,
LightGBM,1200,0,0,4210.421545164379,1.7289830861035078,122027.92893556849,2.5164128647792228,5.189313938342094,1.3149078860293308,3.1780697225677983,1.0179504038468976,-174.4101016871858,0.7524981967160916,7.18,7.0,0.0,0.0008333333333333334,25.256853883873724,15.231021908432918,8.563632729023885,5.031595325129228,34.31221871766134,1.4322562722012337,0.0033333333333333335,0.0016666666666666668,0.0,0.01500636594083236,0.0009232339125031283,0.01592959985333554,
LinearRegression,1200,0,0,2411.860507280712,0.0889992835972519,60581.712341676284,0.10707589726240999,3.2018252910419167,0.2983274769205281,2.565275619471924,0.24009132491222435,-96.52146377259832,0.9858814019900286,2.2725,2.0,0.345,0.8433333333333334,1.0120261537966762,1.0114394945698586,2.4603316522451917,0.31521770184668796,39.17729593607203,0.09319926434136905,0.35333333333333333,0.8358333333333333,0.915,0.0004438767608394503,6.989390333735822e-05,0.0005137706641768086,
MLP,1200,0,0,1070.1031071054942,0.811424020546073,23996.700416266467,0.7700218886240423,5.1129663990880045,0.9007907473493609,3.301051386323369,0.7111858982479704,-82.4299764943343,0.8585700248498542,6.553333333333334,5.0,0.0,0.05416666666666667,15.575480677581023,10.858665432229927,13.420715522338744,3.1612622505454326,20.052644426836455,0.9871922985118965,0.0016666666666666668,0.05416666666666667,0.505,5.0709342708266725,0.004448272238332551,5.075382543065005,
RandomForest,1200,0,0,3075.8276076476004,1.997005084338094,98030.64413433461,3.6598966805673765,4.771043529812761,1.4131541177756093,1.8920625758764118,1.104181307179072,-169.64213483282654,0.7023160899623793,6.661666666666667,7.0,0.0025,0.06583333333333333,28.51965321581675,15.964493570968402,10.946144042144788,4.702195317215952,4.7377901703096965,1.3550092348898648,0.05333333333333334,0.07083333333333333,0.0,0.24983096500583157,0.0071522124708358675,0.2569831774766675,
Ridge,1200,0,0,2375.033742413903,0.08822009314628976,59667.086285240744,0.10561350382988809,3.179136030806422,0.2970186715453391,2.547450861111965,0.2385042271175363,-95.0576140062365,0.9860651672398419,1.9733333333333334,2.0,0.43583333333333335,0.9016666666666666,1.0,1.0,2.4235872668059946,0.3094426056604295,38.53883532635971,0.09114822652663115,0.0,0.8358333333333333,0.9166666666666666,0.0004550954958388424,7.591884249465344e-05,0.0005310143383334975,
