suite_family,prior_regime,method,valid_count,mean_mse_betaX,median_mse_betaX,std_mse_betaX,mean_rmse_betaX,mean_mae_betaX,mean_r2_betaX,median_r2_betaX,mean_rank_mse_betaX,median_rank_mse_betaX
ood_primary,E,AutoGluon,150,0.4437730632012521,0.38901915753300476,0.33114472036322545,0.6320618844381927,0.45575093655692656,0.9393239015324206,0.9540442016415474,3.1266666666666665,3.0
ood_primary,E,CatBoost,150,2.3589988216413666,1.8987020374599313,1.6996226647611985,1.4329346026098988,1.0573253294569318,0.7460899643966723,0.7595532631710944,5.366666666666666,5.0
ood_primary,E,DeepSetModel-MC,150,9.640262902267072,8.55468102831723,5.880410546155563,2.943574957778006,2.301764463712521,-0.027228108825169718,-0.0087594083257229,10.933333333333334,11.0
ood_primary,E,FixedRidgeLambda1,150,0.0758948146774706,0.07264840176151091,0.042893690868279884,0.2636891180183496,0.20804470591437088,0.988462217683965,0.9921181487818782,1.48,1.0
ood_primary,E,KNN,150,3.87579814423363,3.159942592224457,2.683286605757722,1.8413578597972635,1.4277056880083154,0.5915336124071762,0.590073989752175,8.473333333333333,9.0
ood_primary,E,LightGBM,150,3.0021408102125324,2.824616377687524,1.7286509166746777,1.6532582206026396,1.2734775247572883,0.6460513151673711,0.6835161790636692,7.433333333333334,7.0
ood_primary,E,LinearRegression,150,0.07616622691316359,0.07154094179477336,0.04358810459896801,0.2638120287825264,0.2083133176783022,0.9883726948026424,0.9919221075265763,1.52,2.0
ood_primary,E,MLP,150,0.801122962059495,0.7826575747164928,0.26695531842031,0.8826779524107737,0.6784346607763496,0.7989532276492692,0.9111009161727306,4.633333333333334,4.0
ood_primary,E,RandomForest,150,3.25990168847219,2.6084518955616685,2.411064751345275,1.6724985524487626,1.2744006574499935,0.6686074105055109,0.6795340988507004,7.233333333333333,7.0
ood_primary,E,Ridge,150,0.0758948146774706,0.07264840176151091,0.042893690868279884,0.2636891180183496,0.20804470591437088,0.988462217683965,0.9921181487818782,1.48,1.0
