suite_family,prior_regime,p_total_quartile,n_train_quartile,method,valid_count,mean_mse_betaX,mean_r2_betaX,mean_rank_mse_betaX
ood_primary,E,Q1,Q1,AutoGluon,18,0.2850309447515736,0.8929086245901865,3.111111111111111
ood_primary,E,Q1,Q1,CatBoost,18,1.070368360283939,0.7041671353387039,5.333333333333333
ood_primary,E,Q1,Q1,DeepSetModel-MC,18,5.479447811944259,-0.03509250214758368,10.5
ood_primary,E,Q1,Q1,FixedRidgeLambda1,18,0.05343637096611606,0.9838099523692203,1.6111111111111112
ood_primary,E,Q1,Q1,KNN,18,1.807125469825162,0.5759451141608285,7.666666666666667
ood_primary,E,Q1,Q1,LightGBM,18,1.7693192280076175,0.5128915084652896,8.222222222222221
ood_primary,E,Q1,Q1,LinearRegression,18,0.05347868248846352,0.9838896398404169,1.3888888888888888
ood_primary,E,Q1,Q1,MLP,18,0.7639467643889457,0.3084572739080439,6.222222222222222
ood_primary,E,Q1,Q1,RandomForest,18,1.4483514915066147,0.6919728493161297,6.611111111111111
ood_primary,E,Q1,Q1,Ridge,18,0.05343637096611606,0.9838099523692203,1.6111111111111112
ood_primary,E,Q1,Q1,SVR,18,1.924648342575279,0.6550964079426946,6.888888888888889
ood_primary,E,Q1,Q1,XGBoost,18,1.832400266331265,0.46962735519369,8.444444444444445
ood_primary,E,Q1,Q2,AutoGluon,18,0.5495113355391271,0.9254034157545364,3.2222222222222223
ood_primary,E,Q1,Q2,CatBoost,18,1.4408328040679539,0.7958691530802332,5.444444444444445
ood_primary,E,Q1,Q2,DeepSetModel-MC,18,6.797130374683426,-0.02027809883086779,11.0
ood_primary,E,Q1,Q2,FixedRidgeLambda1,18,0.0563471115339025,0.988843738633461,1.6666666666666667
ood_primary,E,Q1,Q2,KNN,18,2.0597399370089047,0.7004801812253364,8.0
ood_primary,E,Q1,Q2,LightGBM,18,2.228749403454382,0.6816911068707898,8.222222222222221
ood_primary,E,Q1,Q2,LinearRegression,18,0.05587059280400738,0.988792848572414,1.3333333333333333
ood_primary,E,Q1,Q2,MLP,18,0.7726039445237762,0.8429024824314412,4.944444444444445
ood_primary,E,Q1,Q2,RandomForest,18,1.6163137632178812,0.7603032590738712,6.277777777777778
ood_primary,E,Q1,Q2,Ridge,18,0.0563471115339025,0.988843738633461,1.6666666666666667
ood_primary,E,Q1,Q2,SVR,18,2.5666879105444407,0.6659391327327229,7.777777777777778
ood_primary,E,Q1,Q2,XGBoost,18,2.1318599968414387,0.6740597278892272,8.11111111111111
ood_primary,E,Q1,Q3,AutoGluon,12,0.19915458933553912,0.9059838898869282,3.0
ood_primary,E,Q1,Q3,CatBoost,12,0.5495350132637511,0.7612735169811304,5.333333333333333
ood_primary,E,Q1,Q3,DeepSetModel-MC,12,2.712060257443639,-0.011762450233034743,10.916666666666666
ood_primary,E,Q1,Q3,FixedRidgeLambda1,12,0.04795091003455116,0.9811151006843879,1.4166666666666667
ood_primary,E,Q1,Q3,KNN,12,0.9650138768938327,0.6219144161596972,7.666666666666667
ood_primary,E,Q1,Q3,LightGBM,12,0.8657838189239918,0.6307290510439878,8.083333333333334
ood_primary,E,Q1,Q3,LinearRegression,12,0.04931485104983824,0.9808401044202087,1.5833333333333333
ood_primary,E,Q1,Q3,MLP,12,0.8180213047854962,0.5128728586714182,7.75
ood_primary,E,Q1,Q3,RandomForest,12,0.5813219704686318,0.7632206508323671,5.5
ood_primary,E,Q1,Q3,Ridge,12,0.04795091003455116,0.9811151006843879,1.4166666666666667
ood_primary,E,Q1,Q3,SVR,12,0.9363146580947289,0.6809144486138274,7.083333333333333
ood_primary,E,Q1,Q3,XGBoost,12,0.7546246391608263,0.6496823144333314,7.666666666666667
ood_primary,E,Q1,Q4,AutoGluon,3,0.35017829719345545,0.963488012431677,3.3333333333333335
ood_primary,E,Q1,Q4,CatBoost,3,1.9140733031201929,0.8017521078032711,5.0
ood_primary,E,Q1,Q4,DeepSetModel-MC,3,10.135431590512875,-0.028564904411248537,11.0
ood_primary,E,Q1,Q4,FixedRidgeLambda1,3,0.0942787317590487,0.9899527297862335,1.0
ood_primary,E,Q1,Q4,KNN,3,2.773377693412023,0.7207051095685175,6.666666666666667
ood_primary,E,Q1,Q4,LightGBM,3,3.6188946793881995,0.6239310527659253,9.666666666666666
ood_primary,E,Q1,Q4,LinearRegression,3,0.09762281054785181,0.9896249504788844,2.0
ood_primary,E,Q1,Q4,MLP,3,0.43765089390947454,0.9526708245621728,3.6666666666666665
ood_primary,E,Q1,Q4,RandomForest,3,2.600095293733743,0.7322463309866084,7.0
ood_primary,E,Q1,Q4,Ridge,3,0.0942787317590487,0.9899527297862335,1.0
ood_primary,E,Q1,Q4,SVR,3,3.8389503922378836,0.6075837431502832,9.333333333333334
ood_primary,E,Q1,Q4,XGBoost,3,2.807816239636024,0.699097000178991,7.333333333333333
ood_primary,E,Q2,Q1,AutoGluon,15,0.4991300168683091,0.930726126461675,3.066666666666667
ood_primary,E,Q2,Q1,CatBoost,15,1.7315003502366935,0.7744238750107736,5.0
ood_primary,E,Q2,Q1,DeepSetModel-MC,15,7.626193374830296,-0.02663611169463496,11.0
ood_primary,E,Q2,Q1,FixedRidgeLambda1,15,0.11322223633672547,0.9825563268653222,1.4
ood_primary,E,Q2,Q1,KNN,15,3.0139472959783054,0.6136140595506998,8.133333333333333
ood_primary,E,Q2,Q1,LightGBM,15,2.696792322295704,0.615007325744573,8.4
